param_i,param_j,pearson_r,abs_r>0.9
SEEV_EXPECTANCY_RISK_WEIGHT,MEMORY_ACTIVE_ABSENT_STEPS_TH,nan,
SEEV_EXPECTANCY_RISK_WEIGHT,LANDMARK_DECAY_RATE,nan,
SEEV_EXPECTANCY_RISK_WEIGHT,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,nan,
SEEV_EXPECTANCY_RISK_WEIGHT,LOOMING_BOOST_PEAK,nan,
SEEV_EXPECTANCY_RISK_WEIGHT,LOOMING_BOOST_DECAY,nan,
ACTR_RISK_CANE_GUIDANCE_RELIEF,ACTR_RISK_LANDMARK_RELIEF,nan,
ACTR_RISK_CANE_GUIDANCE_RELIEF,PROBE_SAFE_STREAK_RELEASE_THRESHOLD,nan,
ACTR_RISK_CANE_GUIDANCE_RELIEF,ACTR_LOAD_RESUME_THRESHOLD,nan,
ACTR_RISK_CANE_GUIDANCE_RELIEF,PROBE_RELIEF_RATIO,-0.1255,
ACTR_RISK_CANE_GUIDANCE_RELIEF,PROBE_OVERLOAD_STREAK_TH,nan,
ACTR_RISK_CANE_GUIDANCE_RELIEF,MEMORY_ACTIVE_RETRIEVAL_TH,nan,
ACTR_RISK_CANE_GUIDANCE_RELIEF,MEMORY_ACTIVE_ABSENT_STEPS_TH,-0.1148,
ACTR_RISK_CANE_GUIDANCE_RELIEF,LANDMARK_DECAY_RATE,-0.1396,
ACTR_RISK_CANE_GUIDANCE_RELIEF,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,-0.1142,
ACTR_RISK_CANE_GUIDANCE_RELIEF,LOOMING_BOOST_PEAK,-0.1403,
ACTR_RISK_CANE_GUIDANCE_RELIEF,LOOMING_BOOST_DECAY,nan,
ACTR_RISK_LANDMARK_RELIEF,PROBE_SAFE_STREAK_RELEASE_THRESHOLD,nan,
ACTR_RISK_LANDMARK_RELIEF,ACTR_LOAD_RESUME_THRESHOLD,nan,
ACTR_RISK_LANDMARK_RELIEF,PROBE_RELIEF_RATIO,nan,
ACTR_RISK_LANDMARK_RELIEF,PROBE_OVERLOAD_STREAK_TH,nan,
ACTR_RISK_LANDMARK_RELIEF,MEMORY_ACTIVE_RETRIEVAL_TH,nan,
ACTR_RISK_LANDMARK_RELIEF,MEMORY_ACTIVE_ABSENT_STEPS_TH,nan,
ACTR_RISK_LANDMARK_RELIEF,LANDMARK_DECAY_RATE,nan,
ACTR_RISK_LANDMARK_RELIEF,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,nan,
ACTR_RISK_LANDMARK_RELIEF,LOOMING_BOOST_PEAK,nan,
ACTR_RISK_LANDMARK_RELIEF,LOOMING_BOOST_DECAY,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,ACTR_LOAD_RESUME_THRESHOLD,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,PROBE_RELIEF_RATIO,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,PROBE_OVERLOAD_STREAK_TH,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,MEMORY_ACTIVE_RETRIEVAL_TH,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,MEMORY_ACTIVE_ABSENT_STEPS_TH,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,LANDMARK_DECAY_RATE,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,LOOMING_BOOST_PEAK,nan,
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,LOOMING_BOOST_DECAY,nan,
ACTR_LOAD_RESUME_THRESHOLD,PROBE_RELIEF_RATIO,nan,
ACTR_LOAD_RESUME_THRESHOLD,PROBE_OVERLOAD_STREAK_TH,nan,
ACTR_LOAD_RESUME_THRESHOLD,MEMORY_ACTIVE_RETRIEVAL_TH,nan,
ACTR_LOAD_RESUME_THRESHOLD,MEMORY_ACTIVE_ABSENT_STEPS_TH,nan,
ACTR_LOAD_RESUME_THRESHOLD,LANDMARK_DECAY_RATE,nan,
ACTR_LOAD_RESUME_THRESHOLD,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,nan,
ACTR_LOAD_RESUME_THRESHOLD,LOOMING_BOOST_PEAK,nan,
ACTR_LOAD_RESUME_THRESHOLD,LOOMING_BOOST_DECAY,nan,
PROBE_RELIEF_RATIO,PROBE_OVERLOAD_STREAK_TH,nan,
PROBE_RELIEF_RATIO,MEMORY_ACTIVE_RETRIEVAL_TH,nan,
PROBE_RELIEF_RATIO,MEMORY_ACTIVE_ABSENT_STEPS_TH,0.9840,YES
PROBE_RELIEF_RATIO,LANDMARK_DECAY_RATE,0.9490,YES
PROBE_RELIEF_RATIO,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.9959,YES
PROBE_RELIEF_RATIO,LOOMING_BOOST_PEAK,0.9911,YES
PROBE_RELIEF_RATIO,LOOMING_BOOST_DECAY,nan,
PROBE_OVERLOAD_STREAK_TH,MEMORY_ACTIVE_RETRIEVAL_TH,nan,
PROBE_OVERLOAD_STREAK_TH,MEMORY_ACTIVE_ABSENT_STEPS_TH,nan,
PROBE_OVERLOAD_STREAK_TH,LANDMARK_DECAY_RATE,nan,
PROBE_OVERLOAD_STREAK_TH,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,nan,
PROBE_OVERLOAD_STREAK_TH,LOOMING_BOOST_PEAK,nan,
PROBE_OVERLOAD_STREAK_TH,LOOMING_BOOST_DECAY,nan,
MEMORY_ACTIVE_RETRIEVAL_TH,MEMORY_ACTIVE_ABSENT_STEPS_TH,nan,
MEMORY_ACTIVE_RETRIEVAL_TH,LANDMARK_DECAY_RATE,nan,
MEMORY_ACTIVE_RETRIEVAL_TH,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,nan,
MEMORY_ACTIVE_RETRIEVAL_TH,LOOMING_BOOST_PEAK,nan,
MEMORY_ACTIVE_RETRIEVAL_TH,LOOMING_BOOST_DECAY,nan,
MEMORY_ACTIVE_ABSENT_STEPS_TH,LANDMARK_DECAY_RATE,0.9821,YES
MEMORY_ACTIVE_ABSENT_STEPS_TH,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.9905,YES
MEMORY_ACTIVE_ABSENT_STEPS_TH,LOOMING_BOOST_PEAK,0.9689,YES
MEMORY_ACTIVE_ABSENT_STEPS_TH,LOOMING_BOOST_DECAY,nan,
LANDMARK_DECAY_RATE,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.9541,YES
LANDMARK_DECAY_RATE,LOOMING_BOOST_PEAK,0.9389,YES
LANDMARK_DECAY_RATE,LOOMING_BOOST_DECAY,nan,
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,LOOMING_BOOST_PEAK,0.9840,YES
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,LOOMING_BOOST_DECAY,nan,
LOOMING_BOOST_PEAK,LOOMING_BOOST_DECAY,nan,

param,row_sum(全指标弹性和),row_max,近零行(<0.05)
SEEV_VALUE_SAFETY_WEIGHT,0.0000,0.0000,YES
SEEV_VALUE_PROGRESS_WEIGHT,0.0000,0.0000,YES
SEEV_EXPECTANCY_RISK_WEIGHT,0.0000,0.0000,YES
ACTR_RISK_CANE_GUIDANCE_RELIEF,0.0002,0.0002,YES
ACTR_RISK_LANDMARK_RELIEF,0.0000,0.0000,YES
PROBE_SAFE_STREAK_RELEASE_THRESHOLD,0.0000,0.0000,YES
ACTR_LOAD_RESUME_THRESHOLD,0.0000,0.0000,YES
PROBE_RELIEF_RATIO,10.2094,7.2320,
PROBE_OVERLOAD_STREAK_TH,0.0000,0.0000,YES
MEMORY_ACTIVE_RETRIEVAL_TH,0.0000,0.0000,YES
MEMORY_ACTIVE_ABSENT_STEPS_TH,23.0403,13.4515,
LANDMARK_DECAY_RATE,4.6795,2.5000,
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,2.2511,1.7116,
LOOMING_BOOST_PEAK,1.5518,1.0149,
LOOMING_BOOST_DECAY,0.0000,0.0000,YES
